[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 126/893 neutral_exit_grid/neutral_nrm_2p1_c_0p32_tp1_1p8 score=-2.968 IS=170 +65.8R PF=1.79 OOS=6 +4.7R PF=2.57 strict=False repair=False
[alpha-repair] 127/893 neutral_c_offset/neutral_nrm_2p25_c_0p236 score=-1.167 IS=161 +81.8R PF=2.16 OOS=6 +3.2R PF=2.06 strict=False repair=False
[alpha-repair] 128/893 neutral_exit_grid/neutral_nrm_2p25_c_0p236_tp1_1p45 score=-0.456 IS=166 +79.3R PF=2.11 OOS=7 +4.3R PF=2.44 strict=False repair=False
[alpha-repair] 129/893 neutral_exit_grid/neutral_nrm_2p25_c_0p236_tp1_1p55 score=-1.393 IS=162 +80.6R PF=2.14 OOS=6 +3.1R PF=2.04 strict=False repair=False
[alpha-repair] 130/893 neutral_exit_grid/neutral_nrm_2p25_c_0p236_tp1_1p7 score=+1.306 IS=162 +80.0R PF=2.09 OOS=7 +5.4R PF=2.81 strict=False repair=True
[alpha-repair] 131/893 neutral_exit_grid/neutral_nrm_2p25_c_0p236_tp1_1p8 score=-1.837 IS=160 +79.6R PF=2.07 OOS=6 +3.4R PF=2.14 strict=False repair=False
[alpha-repair] 132/893 neutral_c_offset/neutral_nrm_2p25_c_0p248 score=-1.318 IS=161 +80.8R PF=2.15 OOS=6 +3.2R PF=2.06 strict=False repair=False
[alpha-repair] 133/893 neutral_exit_grid/neutral_nrm_2p25_c_0p248_tp1_1p45 score=+0.171 IS=165 +77.7R PF=2.09 OOS=7 +5.3R PF=2.76 strict=False repair=False
[alpha-repair] 134/893 neutral_exit_grid/neutral_nrm_2p25_c_0p248_tp1_1p55 score=-1.544 IS=162 +79.6R PF=2.13 OOS=6 +3.1R PF=2.04 strict=False repair=False
[alpha-repair] 135/893 neutral_exit_grid/neutral_nrm_2p25_c_0p248_tp1_1p7 score=-0.887 IS=162 +66.9R PF=1.87 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 136/893 neutral_exit_grid/neutral_nrm_2p25_c_0p248_tp1_1p8 score=+0.237 IS=160 +78.0R PF=2.05 OOS=7 +5.9R PF=2.96 strict=False repair=False
[alpha-repair] 137/893 neutral_exit_grid/neutral_nrm_2p25_c_0p252_tp1_1p45 score=+0.253 IS=168 +74.3R PF=2.01 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 138/893 neutral_exit_grid/neutral_nrm_2p25_c_0p252_tp1_1p55 score=+0.269 IS=165 +77.7R PF=2.07 OOS=7 +5.5R PF=2.82 strict=False repair=False
[alpha-repair] 139/893 neutral_exit_grid/neutral_nrm_2p25_c_0p252_tp1_1p7 score=-1.044 IS=163 +66.1R PF=1.85 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 140/893 neutral_exit_grid/neutral_nrm_2p25_c_0p252_tp1_1p8 score=-1.869 IS=163 +69.2R PF=1.89 OOS=7 +5.1R PF=2.69 strict=False repair=False
[alpha-repair] 141/893 neutral_c_offset/neutral_nrm_2p25_c_0p264 score=+0.570 IS=164 +78.9R PF=2.08 OOS=7 +5.6R PF=2.87 strict=False repair=False
[alpha-repair] 142/893 neutral_exit_grid/neutral_nrm_2p25_c_0p264_tp1_1p45 score=+0.317 IS=166 +74.5R PF=2.02 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 143/893 neutral_exit_grid/neutral_nrm_2p25_c_0p264_tp1_1p55 score=+0.520 IS=165 +77.7R PF=2.07 OOS=7 +5.8R PF=2.92 strict=False repair=False
[alpha-repair] 144/893 neutral_exit_grid/neutral_nrm_2p25_c_0p264_tp1_1p7 score=-2.502 IS=163 +66.1R PF=1.85 OOS=7 +4.9R PF=2.62 strict=False repair=False
