name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
combo__signal_geometry__signal_quality_sizing__entry_expansion,orthogonal_combination,246.02993761038044,30651.819999999985,57.80530894886363,1.8735893011757547,0.12330497578804396,47.51629222213276,2616.950000000006,52.75833333333333,3.4961845895572314,0.01979882037533501,True,True,False,0.971875452297321
score__adx_threshold_25,score_discrimination,255.62922840535342,29682.729999999996,55.686789772727266,1.8675315269605635,0.1249572269298443,49.880779606357414,2443.840000000007,55.29479166666667,3.2286219757972745,0.019406587959310398,True,True,False,0.968463941271376
time__late1030_size075,time_discrimination,244.91638115871558,27733.100000000006,56.42178622159091,1.8529083599664409,0.11392305015941931,50.71342336377774,2395.9700000000066,55.802083333333336,3.2993953934741036,0.0181924678326741,False,True,False,0.9664953824783813
combo__entry_expansion__exit_logic,orthogonal_combination,244.20080857214484,31423.33,59.70765269886363,1.80598287814148,0.10222481510616364,44.45528230174657,2721.260000000008,54.7875,3.269835179500883,0.019950253912322226,True,True,False,0.9661355490788479
geometry__entry_range_cap_1p0,signal_geometry,244.98546945524052,30179.199999999983,52.18474786931818,1.951101438066937,0.10131281487198604,48.2557154327156,2341.3900000000044,49.20729166666667,4.033281513149381,0.014215843204211298,True,True,False,0.9633524197361469
time__late1030_rvol_add010,time_discrimination,247.9898026654672,30554.309999999998,53.48180042613636,1.9216624989065283,0.1188734112665335,48.66254792565864,2471.5300000000066,51.23645833333334,3.2546341908411023,0.0195231787390981,True,True,False,0.957976686775458
score__six_plus_size_0p8,score_discrimination,261.58836741573384,26546.69,56.33531605113636,1.826494522662472,0.10412822773794306,50.54736460650871,2275.280000000006,56.309375,3.0966071395661854,0.019232473166387928,False,True,False,0.9577186046953248
quality__hard_min_55p0,signal_quality,241.86556647530085,30576.140000000003,54.08709161931818,1.91568605313147,0.10532392942066325,48.556319073279276,2463.6900000000064,52.75833333333333,3.2074492867894886,0.01884230976289105,True,True,False,0.9565278806530201
time__late1030_score5,time_discrimination,258.6457300189957,30244.410000000003,54.260031960227266,1.9067361210004423,0.12224427670390658,47.69923510806449,2407.430000000007,53.265625,3.230609578696727,0.019389243621569158,True,True,False,0.9563143547948653
score__adx_threshold_30,score_discrimination,245.11391441814988,29136.47999999999,55.816495028409086,1.842563321338223,0.1285317107269965,50.03681764658483,2421.850000000007,54.7875,3.232737162349052,0.01963741991739149,False,True,False,0.9558985867960187
